지역별,시점,출생아수,저출산율
서울,2000,133154,1.275
서울,2001,114764,1.111
서울,2002,102008,1.006
서울,2003,101227,1.014
서울,2004,99828,1.015
서울,2005,90468,0.932
서울,2006,93922,0.98
서울,2007,101249,1.068
서울,2008,94736,1.01
서울,2009,89594,0.962
서울,2010,93266,1.015
서울,2011,91526,1.014
서울,2012,93914,1.059
서울,2013,84066,0.968
서울,2014,83711,0.983
서울,2015,83005,1.001
서울,2016,75536,0.94
서울,2017,65389,0.836
서울,2018,58074,0.761
서울,2019,53673,0.717
서울,2020,47445,0.642
서울,2021,45531,0.626
서울,2022,42602,0.593
서울,2023,39456,0.552
부산,2000,41222,1.235
부산,2001,35848,1.103
부산,2002,30767,0.975
부산,2003,30117,0.988
부산,2004,28231,0.953
부산,2005,25681,0.887
부산,2006,25881,0.915
부산,2007,28426,1.024
부산,2008,26670,0.98
부산,2009,25110,0.94
부산,2010,27415,1.045
부산,2011,27759,1.078
부산,2012,28673,1.135
부산,2013,25831,1.049
부산,2014,26190,1.09
부산,2015,26645,1.139
부산,2016,24906,1.095
부산,2017,21480,0.976
부산,2018,19152,0.899
부산,2019,17049,0.827
부산,2020,15058,0.747
부산,2021,14446,0.728
부산,2022,14134,0.723
부산,2023,12866,0.664
대구,2000,32477,1.378
대구,2001,28111,1.216
대구,2002,24260,1.076
대구,2003,24513,1.116
대구,2004,23259,1.087
대구,2005,20804,1.001
대구,2006,20360,1.011
대구,2007,22295,1.137
대구,2008,20562,1.072
대구,2009,19399,1.029
대구,2010,20557,1.109
대구,2011,20758,1.146
대구,2012,21472,1.217
대구,2013,19340,1.127
대구,2014,19361,1.169
대구,2015,19438,1.216
대구,2016,18298,1.186
대구,2017,15946,1.067
대구,2018,14400,0.987
대구,2019,13233,0.932
대구,2020,11193,0.807
대구,2021,10661,0.785
대구,2022,10134,0.757
대구,2023,9410,0.702
인천,2000,34433,1.473
인천,2001,30494,1.324
인천,2002,26775,1.185
인천,2003,26832,1.213
인천,2004,25092,1.158
인천,2005,23026,1.075
인천,2006,23711,1.116
인천,2007,26712,1.257
인천,2008,25365,1.186
인천,2009,24379,1.143
인천,2010,25752,1.214
인천,2011,26118,1.232
인천,2012,27781,1.301
인천,2013,25560,1.195
인천,2014,25786,1.212
인천,2015,25491,1.216
인천,2016,23609,1.144
인천,2017,20445,1.007
인천,2018,20087,1.006
인천,2019,18522,0.94
인천,2020,16040,0.829
인천,2021,14947,0.778
인천,2022,14464,0.747
인천,2023,13659,0.694
광주,2000,21148,1.636
광주,2001,18198,1.421
광주,2002,16036,1.264
광주,2003,15954,1.278
광주,2004,14729,1.203
광주,2005,13327,1.105
광주,2006,13679,1.152
광주,2007,14810,1.262
광주,2008,13890,1.198
광주,2009,13101,1.137
광주,2010,13979,1.223
광주,2011,13916,1.234
광주,2012,14392,1.295
광주,2013,12729,1.17
광주,2014,12729,1.199
광주,2015,12441,1.207
광주,2016,11580,1.168
광주,2017,10120,1.053
광주,2018,9105,0.972
광주,2019,8364,0.913
광주,2020,7318,0.811
광주,2021,7956,0.896
광주,2022,7446,0.844
광주,2023,6172,0.706
대전,2000,19570,1.501
대전,2001,17290,1.33
대전,2002,15631,1.207
대전,2003,15712,1.221
대전,2004,15024,1.181
대전,2005,13950,1.107
대전,2006,14489,1.158
대전,2007,15780,1.274
대전,2008,14856,1.215
대전,2009,13915,1.156
대전,2010,14314,1.205
대전,2011,14808,1.261
대전,2012,15279,1.315
대전,2013,14099,1.234
대전,2014,13962,1.25
대전,2015,13774,1.277
대전,2016,12436,1.192
대전,2017,10851,1.075
대전,2018,9337,0.952
대전,2019,8410,0.883
대전,2020,7481,0.805
대전,2021,7414,0.81
대전,2022,7677,0.842
대전,2023,7194,0.787
울산,2000,15816,1.633
울산,2001,13600,1.423
울산,2002,11666,1.242
울산,2003,11720,1.28
울산,2004,11151,1.241
울산,2005,10469,1.186
울산,2006,10740,1.242
울산,2007,11955,1.403
울산,2008,11365,1.338
울산,2009,11033,1.308
울산,2010,11432,1.369
울산,2011,11542,1.393
울산,2012,12160,1.481
울산,2013,11330,1.391
울산,2014,11556,1.437
울산,2015,11732,1.486
울산,2016,10910,1.418
울산,2017,9381,1.261
울산,2018,8149,1.131
울산,2019,7539,1.084
울산,2020,6617,0.984
울산,2021,6127,0.94
울산,2022,5399,0.848
울산,2023,5082,0.814
세종,2000,-,-
세종,2001,-,-
세종,2002,-,-
세종,2003,-,-
세종,2004,-,-
세종,2005,-,-
세종,2006,-,-
세종,2007,-,-
세종,2008,-,-
세종,2009,-,-
세종,2010,-,-
세종,2011,-,-
세종,2012,1054,1.597
세종,2013,1111,1.435
세종,2014,1344,1.354
세종,2015,2708,1.893
세종,2016,3297,1.821
세종,2017,3504,1.668
세종,2018,3703,1.566
세종,2019,3819,1.472
세종,2020,3468,1.277
세종,2021,3570,1.277
세종,2022,3209,1.121
세종,2023,2761,0.971
경기,2000,141704,1.628
경기,2001,126264,1.437
경기,2002,116854,1.305
경기,2003,120433,1.321
경기,2004,117812,1.28
경기,2005,109533,1.183
경기,2006,115111,1.239
경기,2007,126648,1.361
경기,2008,119397,1.285
경기,2009,113692,1.226
경기,2010,121753,1.309
경기,2011,122027,1.314
경기,2012,124746,1.355
경기,2013,112129,1.226
경기,2014,112169,1.241
경기,2015,113495,1.272
경기,2016,105643,1.194
경기,2017,94088,1.069
경기,2018,88175,1.002
경기,2019,83198,0.943
경기,2020,77737,0.878
경기,2021,76139,0.853
경기,2022,75323,0.839
경기,2023,68817,0.766
강원,2000,19482,1.6
강원,2001,16873,1.413
강원,2002,15314,1.317
강원,2003,14349,1.279
강원,2004,13776,1.261
강원,2005,12657,1.188
강원,2006,12455,1.202
강원,2007,13690,1.356
강원,2008,12373,1.253
강원,2009,12112,1.248
강원,2010,12477,1.313
강원,2011,12408,1.338
강원,2012,12426,1.374
강원,2013,10980,1.249
강원,2014,10662,1.248
강원,2015,10929,1.311
강원,2016,10058,1.237
강원,2017,8958,1.123
강원,2018,8351,1.067
강원,2019,8283,1.082
강원,2020,7835,1.036
강원,2021,7357,0.979
강원,2022,7278,0.968
강원,2023,6688,0.893
충북,2000,19628,1.583
충북,2001,17322,1.426
충북,2002,15329,1.294
충북,2003,14650,1.27
충북,2004,14331,1.272
충북,2005,13164,1.195
충북,2006,13366,1.233
충북,2007,15002,1.398
충북,2008,14064,1.319
충북,2009,13903,1.317
충북,2010,14670,1.402
충북,2011,14804,1.428
충북,2012,15139,1.485
충북,2013,13658,1.365
충북,2014,13366,1.363
충북,2015,13563,1.414
충북,2016,12742,1.358
충북,2017,11394,1.235
충북,2018,10586,1.172
충북,2019,9333,1.05
충북,2020,8607,0.983
충북,2021,8190,0.949
충북,2022,7452,0.871
충북,2023,7580,0.886
충남,2000,24733,1.698
충남,2001,21962,1.532
충남,2002,19059,1.361
충남,2003,18627,1.358
충남,2004,18640,1.357
충남,2005,17521,1.267
충남,2006,18625,1.356
충남,2007,20630,1.506
충남,2008,19749,1.444
충남,2009,19257,1.408
충남,2010,20242,1.479
충남,2011,20398,1.496
충남,2012,20448,1.571
충남,2013,18628,1.442
충남,2014,18200,1.421
충남,2015,18604,1.48
충남,2016,17302,1.395
충남,2017,15670,1.276
충남,2018,14380,1.186
충남,2019,13228,1.112
충남,2020,11950,1.029
충남,2021,10984,0.963
충남,2022,10221,0.909
충남,2023,9436,0.842
전북,2000,25173,1.595
전북,2001,22192,1.426
전북,2002,19215,1.275
전북,2003,18437,1.274
전북,2004,17257,1.239
전북,2005,15745,1.184
전북,2006,15571,1.213
전북,2007,17228,1.38
전북,2008,15878,1.305
전북,2009,15233,1.279
전북,2010,16100,1.374
전북,2011,16175,1.405
전북,2012,16238,1.44
전북,2013,14555,1.32
전북,2014,14231,1.329
전북,2015,14087,1.352
전북,2016,12698,1.251
전북,2017,11348,1.151
전북,2018,10001,1.044
전북,2019,8971,0.971
전북,2020,8165,0.909
전북,2021,7475,0.85
전북,2022,7032,0.817
전북,2023,6622,0.78
전남,2000,26046,1.75
전남,2001,22588,1.566
전남,2002,19242,1.391
전남,2003,18333,1.389
전남,2004,17256,1.36
전남,2005,15818,1.29
전남,2006,15905,1.337
전남,2007,17844,1.542
전남,2008,16363,1.449
전남,2009,15995,1.445
전남,2010,16654,1.537
전남,2011,16612,1.568
전남,2012,16990,1.642
전남,2013,15401,1.518
전남,2014,14817,1.497
전남,2015,15061,1.549
전남,2016,13980,1.466
전남,2017,12354,1.325
전남,2018,11238,1.24
전남,2019,10832,1.234
전남,2020,9738,1.145
전남,2021,8430,1.017
전남,2022,7888,0.969
전남,2023,7828,0.972
경북,2000,35190,1.578
경북,2001,30500,1.402
경북,2002,26022,1.232
경북,2003,25447,1.253
경북,2004,23553,1.203
경북,2005,22339,1.173
경북,2006,22567,1.208
경북,2007,25062,1.369
경북,2008,23538,1.313
경북,2009,22373,1.274
경북,2010,23700,1.377
경북,2011,24250,1.434
경북,2012,24635,1.489
경북,2013,22206,1.379
경북,2014,22062,1.408
경북,2015,22310,1.464
경북,2016,20616,1.396
경북,2017,17957,1.256
경북,2018,16079,1.167
경북,2019,14472,1.089
경북,2020,12873,1.003
경북,2021,12045,0.966
경북,2022,11311,0.93
경북,2023,10186,0.86
경남,2000,41680,1.586
경남,2001,36475,1.417
경남,2002,32203,1.272
경남,2003,32102,1.29
경남,2004,30922,1.266
경남,2005,28471,1.189
경남,2006,29524,1.254
경남,2007,33313,1.434
경남,2008,31493,1.368
경남,2009,30320,1.323
경남,2010,32203,1.413
경남,2011,32536,1.446
경남,2012,33211,1.503
경남,2013,29504,1.367
경남,2014,29763,1.409
경남,2015,29537,1.437
경남,2016,27138,1.358
경남,2017,23849,1.227
경남,2018,21224,1.122
경남,2019,19250,1.046
경남,2020,16823,0.945
경남,2021,15562,0.903
경남,2022,14017,0.838
경남,2023,13049,0.799
제주,2000,8633,1.783
제주,2001,7453,1.564
제주,2002,6530,1.394
제주,2003,6583,1.438
제주,2004,6097,1.365
제주,2005,5734,1.31
제주,2006,5853,1.372
제주,2007,6178,1.489
제주,2008,5593,1.386
제주,2009,5433,1.378
제주,2010,5657,1.463
제주,2011,5628,1.487
제주,2012,5992,1.598
제주,2013,5328,1.427
제주,2014,5526,1.481
제주,2015,5600,1.477
제주,2016,5494,1.432
제주,2017,5037,1.305
제주,2018,4781,1.22
제주,2019,4500,1.145
제주,2020,3989,1.021
제주,2021,3728,0.951
제주,2022,3599,0.919
제주,2023,3222,0.827
