"행정구역별(읍면동)","시점",총인구 (명)
"서울특별시","2015",9904312
"서울특별시","2016",9805506
"서울특별시","2017",9741871
"서울특별시","2018",9673936
"서울특별시","2019",9639541
"서울특별시","2020",9586195
"서울특별시","2021",9472127
"서울특별시","2022",9417469
"서울특별시","2023",9384512
"부산광역시","2015",3448737
"부산광역시","2016",3440484
"부산광역시","2017",3416918
"부산광역시","2018",3395278
"부산광역시","2019",3372692
"부산광역시","2020",3349016
"부산광역시","2021",3324335
"부산광역시","2022",3295760
"부산광역시","2023",3279604
"대구광역시","2015",2466052
"대구광역시","2016",2461002
"대구광역시","2017",2453041
"대구광역시","2018",2444412
"대구광역시","2019",2429940
"대구광역시","2020",2410700
"대구광역시","2021",2387911
"대구광역시","2022",2366852
"대구광역시","2023",2379188
"인천광역시","2015",2890451
"인천광역시","2016",2913024
"인천광역시","2017",2925967
"인천광역시","2018",2936117
"인천광역시","2019",2952237
"인천광역시","2020",2945454
"인천광역시","2021",2957044
"인천광역시","2022",2989125
"인천광역시","2023",3025950
"광주광역시","2015",1502881
"광주광역시","2016",1501557
"광주광역시","2017",1496172
"광주광역시","2018",1490092
"광주광역시","2019",1489730
"광주광역시","2020",1477573
"광주광역시","2021",1475262
"광주광역시","2022",1468972
"광주광역시","2023",1457090
"대전광역시","2015",1538394
"대전광역시","2016",1535445
"대전광역시","2017",1525849
"대전광역시","2018",1511214
"대전광역시","2019",1498839
"대전광역시","2020",1488435
"대전광역시","2021",1479740
"대전광역시","2022",1473662
"대전광역시","2023",1470336
"울산광역시","2015",1166615
"울산광역시","2016",1166033
"울산광역시","2017",1157077
"울산광역시","2018",1150116
"울산광역시","2019",1143692
"울산광역시","2020",1135423
"울산광역시","2021",1120753
"울산광역시","2022",1110516
"울산광역시","2023",1107432
"세종특별자치시","2015",204088
"세종특별자치시","2016",242507
"세종특별자치시","2017",276589
"세종특별자치시","2018",312374
"세종특별자치시","2019",338136
"세종특별자치시","2020",353933
"세종특별자치시","2021",366227
"세종특별자치시","2022",382589
"세종특별자치시","2023",386261
"경기도","2015",12479061
"경기도","2016",12671956
"경기도","2017",12851601
"경기도","2018",13103188
"경기도","2019",13300900
"경기도","2020",13511676
"경기도","2021",13652529
"경기도","2022",13717827
"경기도","2023",13815367
"강원특별자치도","2015",1518040
"강원특별자치도","2016",1521751
"강원특별자치도","2017",1521386
"강원특별자치도","2018",1520391
"강원특별자치도","2019",1520127
"강원특별자치도","2020",1521763
"강원특별자치도","2021",1521890
"강원특별자치도","2022",1528037
"강원특별자치도","2023",1528014
"충청북도","2015",1589347
"충청북도","2016",1603404
"충청북도","2017",1611009
"충청북도","2018",1620935
"충청북도","2019",1629343
"충청북도","2020",1632088
"충청북도","2021",1624764
"충청북도","2022",1624993
"충청북도","2023",1641481
"충청남도","2015",2107802
"충청남도","2016",2132566
"충청남도","2017",2162426
"충청남도","2018",2181416
"충청남도","2019",2188649
"충청남도","2020",2176636
"충청남도","2021",2175960
"충청남도","2022",2193214
"충청남도","2023",2216332
"전라북도","2015",1834114
"전라북도","2016",1833168
"전라북도","2017",1826174
"전라북도","2018",1818157
"전라북도","2019",1807423
"전라북도","2020",1802766
"전라북도","2021",1787053
"전라북도","2022",1774248
"전라북도","2023",1768491
"전라남도","2015",1799044
"전라남도","2016",1796017
"전라남도","2017",1792319
"전라남도","2018",1790352
"전라남도","2019",1787543
"전라남도","2020",1788807
"전라남도","2021",1778124
"전라남도","2022",1771431
"전라남도","2023",1776668
"경상북도","2015",2680294
"경상북도","2016",2682169
"경상북도","2017",2677058
"경상북도","2018",2672902
"경상북도","2019",2668154
"경상북도","2020",2644757
"경상북도","2021",2635314
"경상북도","2022",2620373
"경상북도","2023",2589880
"경상남도","2015",3334524
"경상남도","2016",3339633
"경상남도","2017",3345293
"경상남도","2018",3350350
"경상남도","2019",3347209
"경상남도","2020",3333056
"경상남도","2021",3305931
"경상남도","2022",3280829
"경상남도","2023",3271148
"제주특별자치도","2015",605619
"제주특별자치도","2016",623332
"제주특별자치도","2017",641757
"제주특별자치도","2018",658282
"제주특별자치도","2019",665048
"제주특별자치도","2020",670858
"제주특별자치도","2021",673107
"제주특별자치도","2022",676375
"제주특별자치도","2023",676767
