시점,지역,사교육참여율(%)
2009,서울,79.6
2010,서울,77.5
2011,서울,77.0
2012,서울,73.5
2013,서울,75.0
2014,서울,74.4
2015,서울,74.3
2016,서울,73.7
2017,서울,77.6
2018,서울,79.9
2019,서울,80.0
2020,서울,75.0
2021,서울,81.5
2022,서울,84.3
2023,서울,84.8
2009,부산,72.4
2010,부산,72.7
2011,부산,69.7
2012,부산,68.7
2013,부산,67.3
2014,부산,65.8
2015,부산,67.8
2016,부산,69.8
2017,부산,73.0
2018,부산,70.3
2019,부산,75.9
2020,부산,67.1
2021,부산,77.4
2022,부산,78.7
2023,부산,80.1
2009,대구,77.5
2010,대구,77.4
2011,대구,74.4
2012,대구,75.4
2013,대구,71.9
2014,대구,70.3
2015,대구,71.3
2016,대구,68.9
2017,대구,74.0
2018,대구,73.7
2019,대구,75.5
2020,대구,65.9
2021,대구,79.1
2022,대구,79.9
2023,대구,80.2
2009,인천,73.9
2010,인천,72.1
2011,인천,70.0
2012,인천,66.6
2013,인천,65.3
2014,인천,65.9
2015,인천,65.9
2016,인천,64.9
2017,인천,68.0
2018,인천,72.6
2019,인천,75.1
2020,인천,66.6
2021,인천,73.9
2022,인천,77.9
2023,인천,77.3
2009,광주,75.9
2010,광주,74.5
2011,광주,72.7
2012,광주,70.8
2013,광주,69.8
2014,광주,68.7
2015,광주,68.8
2016,광주,64.8
2017,광주,68.7
2018,광주,69.4
2019,광주,73.7
2020,광주,67.1
2021,광주,73.6
2022,광주,74.9
2023,광주,76.3
2009,대전,74.2
2010,대전,75.4
2011,대전,73.2
2012,대전,73.4
2013,대전,72.7
2014,대전,70.5
2015,대전,70.2
2016,대전,68.8
2017,대전,72.7
2018,대전,73.8
2019,대전,74.5
2020,대전,68.2
2021,대전,75.6
2022,대전,77.7
2023,대전,77.9
2009,울산,75.4
2010,울산,73.5
2011,울산,72.3
2012,울산,70.9
2013,울산,67.3
2014,울산,67.6
2015,울산,69.6
2016,울산,68.1
2017,울산,69.4
2018,울산,73.3
2019,울산,73.0
2020,울산,65.2
2021,울산,73.7
2022,울산,78.4
2023,울산,78.2
2014,세종,66.3
2015,세종,67.7
2016,세종,69.2
2017,세종,74.5
2018,세종,77.9
2019,세종,81.3
2020,세종,73.0
2021,세종,81.1
2022,세종,80.5
2023,세종,83.9
2009,경기,77.4
2010,경기,76.5
2011,경기,75.4
2012,경기,70.9
2013,경기,72.0
2014,경기,72.8
2015,경기,72.3
2016,경기,71.5
2017,경기,74.0
2018,경기,76.1
2019,경기,78.3
2020,경기,68.4
2021,경기,77.6
2022,경기,82.1
2023,경기,81.9
2009,강원,68.1
2010,강원,66.5
2011,강원,61.1
2012,강원,64.5
2013,강원,61.9
2014,강원,60.9
2015,강원,62.2
2016,강원,61.4
2017,강원,65.5
2018,강원,65.8
2019,강원,65.7
2020,강원,63.6
2021,강원,69.7
2022,강원,70.3
2023,강원,72.6
2009,충북,69.4
2010,충북,66.9
2011,충북,64.9
2012,충북,63.9
2013,충북,62.5
2014,충북,60.7
2015,충북,61.6
2016,충북,60.5
2017,충북,63.0
2018,충북,69.4
2019,충북,69.0
2020,충북,61.6
2021,충북,69.5
2022,충북,73.1
2023,충북,72.0
2009,충남,68.5
2010,충남,66.2
2011,충남,66.7
2012,충남,61.2
2013,충남,60.7
2014,충남,61.1
2015,충남,61.2
2016,충남,58.8
2017,충남,64.6
2018,충남,63.7
2019,충남,69.4
2020,충남,59.2
2021,충남,67.2
2022,충남,68.9
2023,충남,70.2
2009,전북,65.8
2010,전북,65.2
2011,전북,60.9
2012,전북,62.0
2013,전북,59.9
2014,전북,59.4
2015,전북,60.6
2016,전북,60.9
2017,전북,64.6
2018,전북,65.5
2019,전북,68.3
2020,전북,62.8
2021,전북,69.8
2022,전북,70.8
2023,전북,69.8
2009,전남,67.7
2010,전남,65.9
2011,전남,62.7
2012,전남,62.1
2013,전남,59.0
2014,전남,58.5
2015,전남,59.6
2016,전남,54.9
2017,전남,57.0
2018,전남,61.5
2019,전남,60.9
2020,전남,58.1
2021,전남,66.5
2022,전남,67.6
2023,전남,67.3
2009,경북,74.0
2010,경북,70.0
2011,경북,68.5
2012,경북,67.6
2013,경북,64.3
2014,경북,64.5
2015,경북,64.5
2016,경북,64.0
2017,경북,67.3
2018,경북,67.7
2019,경북,69.7
2020,경북,60.5
2021,경북,71.8
2022,경북,72.8
2023,경북,73.8
2009,경남,75.6
2010,경남,73.6
2011,경남,69.4
2012,경남,68.6
2013,경남,67.3
2014,경남,67.1
2015,경남,66.9
2016,경남,65.2
2017,경남,70.0
2018,경남,70.3
2019,경남,72.0
2020,경남,64.8
2021,경남,72.7
2022,경남,75.3
2023,경남,74.9
2009,제주,68.7
2010,제주,70.0
2011,제주,68.5
2012,제주,66.5
2013,제주,64.4
2014,제주,63.3
2015,제주,64.2
2016,제주,64.6
2017,제주,66.3
2018,제주,68.4
2019,제주,72.1
2020,제주,66.9
2021,제주,72.7
2022,제주,73.3
2023,제주,74.8
