,서울,광역시,대도시외
2015-01-31,416886307.0,400708586.0,1026316703.0
2015-02-28,418087441.6666667,401238917.0833333,1029407236.1666666
2015-03-31,419288576.3333333,401769248.1666667,1032497769.3333334
2015-04-30,420489711.0,402299579.25,1035588302.5
2015-05-31,421690845.6666667,402829910.3333333,1038678835.6666666
2015-06-30,422891980.3333333,403360241.4166667,1041769368.8333334
2015-07-31,424093115.0,403890572.5,1044859902.0
2015-08-31,425294249.6666667,404420903.5833333,1047950435.1666666
2015-09-30,426495384.3333333,404951234.6666667,1051040968.3333334
2015-10-31,427696519.0,405481565.75,1054131501.5
2015-11-30,428897653.6666667,406011896.8333333,1057222034.6666666
2015-12-31,430098788.3333333,406542227.9166667,1060312567.8333334
2016-01-31,431299923.0,407072559.0,1063403101.0
2016-02-29,432233894.5833333,407607199.0,1067295773.0
2016-03-31,433167866.1666667,408141839.0,1071188445.0
2016-04-30,434101837.75,408676479.0,1075081117.0
2016-05-31,435035809.3333333,409211119.0,1078973789.0
2016-06-30,435969780.9166667,409745759.0,1082866461.0
2016-07-31,436903752.5,410280399.0,1086759133.0
2016-08-31,437837724.0833333,410815039.0,1090651805.0
2016-09-30,438771695.6666667,411349679.0,1094544477.0
2016-10-31,439705667.25,411884319.0,1098437149.0
2016-11-30,440639638.8333333,412418959.0,1102329821.0
2016-12-31,441573610.4166667,412953599.0,1106222493.0
2017-01-31,442507582.0,413488239.0,1110115165.0
2017-02-28,444006653.75,414015355.5833333,1113122195.3333333
2017-03-31,445505725.5,414542472.1666667,1116129225.6666667
2017-04-30,447004797.25,415069588.75,1119136256.0
2017-05-31,448503869.0,415596705.3333333,1122143286.3333333
2017-06-30,450002940.75,416123821.9166667,1125150316.6666667
2017-07-31,451502012.5,416650938.5,1128157347.0
2017-08-31,453001084.25,417178055.0833333,1131164377.3333333
2017-09-30,454500156.0,417705171.6666667,1134171407.6666667
2017-10-31,455999227.75,418232288.25,1137178438.0
2017-11-30,457498299.5,418759404.8333333,1140185468.3333333
2017-12-31,458997371.25,419286521.4166667,1143192498.6666667
2018-01-31,460496443.0,419813638.0,1146199529.0
2018-02-28,461722277.3333333,420484290.0,1148385143.8333333
2018-03-31,462948111.6666667,421154942.0,1150570758.6666667
2018-04-30,464173946.0,421825594.0,1152756373.5
2018-05-31,465399780.3333333,422496246.0,1154941988.3333333
2018-06-30,466625614.6666667,423166898.0,1157127603.1666667
2018-07-31,467851449.0,423837550.0,1159313218.0
2018-08-31,469077283.3333333,424508202.0,1161498832.8333333
2018-09-30,470303117.6666667,425178854.0,1163684447.6666667
2018-10-31,471528952.0,425849506.0,1165870062.5
2018-11-30,472754786.3333333,426520158.0,1168055677.3333333
2018-12-31,473980620.6666667,427190810.0,1170241292.1666667
2019-01-31,475206455.0,427861462.0,1172426907.0
2019-02-28,475011185.3333333,426888946.4166667,1172510949.0833333
2019-03-31,474815915.6666667,425916430.8333333,1172594991.1666667
2019-04-30,474620646.0,424943915.25,1172679033.25
2019-05-31,474425376.3333333,423971399.6666667,1172763075.3333333
2019-06-30,474230106.6666667,422998884.0833333,1172847117.4166667
2019-07-31,474034837.0,422026368.5,1172931159.5
2019-08-31,473839567.3333333,421053852.9166667,1173015201.5833333
2019-09-30,473644297.6666667,420081337.3333333,1173099243.6666667
2019-10-31,473449028.0,419108821.75,1173183285.75
2019-11-30,473253758.3333333,418136306.1666667,1173267327.8333333
2019-12-31,473058488.6666667,417163790.5833333,1173351369.9166667
2020-01-31,472863219.0,416191275.0,1173435412.0
2020-02-29,474407010.25,417660584.0,1178214266.1666667
2020-03-31,475950801.5,419129893.0,1182993120.3333333
2020-04-30,477494592.75,420599202.0,1187771974.5
2020-05-31,479038384.0,422068511.0,1192550828.6666667
2020-06-30,480582175.25,423537820.0,1197329682.8333333
2020-07-31,482125966.5,425007129.0,1202108537.0
2020-08-31,483669757.75,426476438.0,1206887391.1666667
2020-09-30,485213549.0,427945747.0,1211666245.3333333
2020-10-31,486757340.25,429415056.0,1216445099.5
2020-11-30,488301131.5,430884365.0,1221223953.6666667
2020-12-31,489844922.75,432353674.0,1226002807.8333333
2021-01-31,491388714.0,433822983.0,1230781662.0
2021-02-28,492469613.4166667,434996651.5833333,1233450399.5833333
2021-03-31,493550512.8333333,436170320.1666667,1236119137.1666667
2021-04-30,494631412.25,437343988.75,1238787874.75
2021-05-31,495712311.6666667,438517657.3333333,1241456612.3333333
2021-06-30,496793211.0833333,439691325.9166667,1244125349.9166667
2021-07-31,497874110.5,440864994.5,1246794087.5
2021-08-31,498955009.9166667,442038663.0833333,1249462825.0833333
2021-09-30,500035909.3333333,443212331.6666667,1252131562.6666667
2021-10-31,501116808.75,444386000.25,1254800300.25
2021-11-30,502197708.1666667,445559668.8333333,1257469037.8333333
2021-12-31,503278607.5833333,446733337.4166667,1260137775.4166667
